listing_id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,listings_per_host,minimum_nights_per_listing
34991332,Bungalow in scenic country setting near airport,263627728,Evelyn,Fingal,53.570614,-6.28918,Entire home/apt,70,2,221,05/12/2022,5.15,2,94,70,2,2
35005349,Loreto Abbey Rathfarnham,162402361,Ian,Dn Laoghaire-Rathdown,53.28907,-6.27281,Entire home/apt,151,14,16,10/04/2022,0.37,38,342,4,10,14
35053161,Double/triple large bedroom with private bathroom,187333824,Julia,Fingal,53.40087,-6.14149,Private room,84,1,36,22/09/2019,0.85,1,0,0,1,1
35085606,Down town 1BR Apartment x,260461252,Ellie,Dublin City,53.35469,-6.2632,Entire home/apt,107,4,5,01/01/2020,0.12,5,0,0,5,4
35085611,Down town 2BR Apartment x,260461252,Ellie,Dublin City,53.35436,-6.26644,Entire home/apt,146,4,6,17/09/2019,0.15,5,0,0,5,4
35090499,Cozy Apartment in the heart of Dublin City Centre,37785000,Lisa,Dublin City,53.33751,-6.2645,Entire home/apt,160,2,2,09/02/2020,0.05,1,0,0,1,2
35091868,Comfortable and clean single room in Santry,20758313,Trevor,Dublin City,53.39905,-6.22768,Private room,29,9,2,05/07/2019,0.05,1,0,0,1,9
35123611,"Private Room in Duplex Apt At Beacon, Sandyford",212804578,Chinua,Dn Laoghaire-Rathdown,53.2782,-6.2162,Private room,48,1,4,25/01/2020,0.09,1,0,0,1,1
35124391,Riverside apartment in very quiet block,13119176,Avila,Dublin City,53.35819,-6.27218,Entire home/apt,140,2,0,,,1,0,0,1,2
35141834,2BR charming Apt beside Merrion Sq,264430227,Mary,Dublin City,53.34055,-6.24578,Entire home/apt,119,14,69,28/11/2022,1.61,1,13,10,1,14
35145549,Private room in a peaceful house in Dublin South,65457436,Audrey,Dn Laoghaire-Rathdown,53.247284,-6.179726,Private room,146,2,3,19/09/2022,0.54,1,348,3,1,2
35150735,Double bedroom apartment by St Patrick's Cathedral,79240739,Zoloo,Dublin City,53.33699,-6.27722,Entire home/apt,70,1,8,07/07/2019,0.19,1,0,0,1,1
35152001,Beautiful 3 BDR Family Home - wkly/mthly available,13781327,Avril,Dublin City,53.33427,-6.27766,Entire home/apt,200,3,24,30/05/2021,0.56,1,0,0,1,3
35160597,Glen Abbey Accommodation,131468956,Patrick,Dn Laoghaire-Rathdown,53.29475,-6.21508,Private room,80,4,32,11/09/2022,0.76,4,0,23,4,4
35206674,Dreamy Victorian Home (inc. Peloton),54339181,Conor,Dublin City,53.33261,-6.269,Entire home/apt,395,4,12,05/12/2022,2.81,1,76,12,1,4
35210012,Female only* new house Portmarnock train station,158579263,Maria,Fingal,53.41622,-6.14921,Private room,180,1,4,12/09/2022,0.09,1,63,3,1,1
35219716,Sandycove Dream,50820794,Gillian,Dn Laoghaire-Rathdown,53.28813,-6.12555,Entire home/apt,500,1,0,,,2,0,0,2,1
35229089,Modern Cosy 2 Bedroom apt in Donnybrook Dublin,1107831,David,Dublin City,53.31773,-6.23319,Entire home/apt,184,14,34,17/11/2022,0.8,1,46,17,1,14
35231214,High quality & cosy room in Stillorgan,115615721,Catia,Dn Laoghaire-Rathdown,53.26838,-6.19686,Private room,111,5,5,08/08/2022,0.12,1,73,2,1,5
35243415,"Double bed with balcony, bathroom in Stillorgan",15306607,Andreas,Dn Laoghaire-Rathdown,53.28295,-6.19499,Private room,75,1,5,27/11/2022,0.35,1,0,4,1,1
35247934,"Kinsealy Downs, 5 bedrooms",265368904,Peter,Fingal,53.445438,-6.200194,Entire home/apt,179,2,3,07/08/2022,0.59,1,0,3,1,2
35274738,Dublin Centre-Quiet double-bed & Private bathroom,33204838,Jessica,Dublin City,53.35021,-6.28435,Private room,96,3,99,27/11/2022,2.31,1,20,37,1,3
35289196,Breakfast and comfort room near by airport,174213822,Karolyne,Fingal,53.41896,-6.38646,Private room,2000,1,2,30/06/2019,0.05,2,178,0,2,1
35320369,Bright and Quiet apartment beside the Phoenix Park,143631195,Asia,Dublin City,53.35076,-6.34654,Entire home/apt,110,2,11,05/11/2019,0.26,1,0,0,1,2
35340639,"Single room in Belgard Heights, Tallaght",262010851,Linda,South Dublin,53.29719,-6.38336,Private room,60,2,44,18/11/2022,1.03,2,2,13,2,2
35346979,Spacious 3 Bedroom Townhouse Dublin,17981524,Christina,Dublin City,53.32546,-6.31513,Entire home/apt,120,7,5,26/05/2020,0.12,5,0,0,5,7
35355059,Donnybrook Delight - Contemporary Spacious Home,32478579,Christine,Dublin City,53.31429,-6.23207,Entire home/apt,429,2,7,23/08/2019,0.17,1,0,0,1,2
35366258,In the Heart of Dublin,266244126,Gustavo,Dublin City,53.35036,-6.24073,Private room,45,4,9,12/03/2020,0.21,2,0,0,2,4
35372523,Cosy Private Room in Quiet Home,31810133,Kevin,South Dublin,53.27,-6.33335,Private room,60,1,74,21/11/2022,1.74,1,63,26,1,1
35377358,Private room in the heart of Dublin,14965476,Allison,Dublin City,53.33552,-6.27538,Private room,70,1,1,11/06/2019,0.02,1,0,0,1,1
35406191,Stylish two bed house in Portobello,266493116,Robbie,Dublin City,53.33122,-6.26782,Entire home/apt,200,2,3,14/07/2019,0.07,2,0,0,2,2
35408107,Cosy double bedroom Dublin,86460838,Samantha,Dublin City,53.31913,-6.30406,Private room,55,1,1,21/06/2019,0.02,1,0,0,1,1
35448648,Self Contained Monkstown Hideaway,266313999,Mairead,Dn Laoghaire-Rathdown,53.29126,-6.14632,Private room,100,2,29,03/09/2021,0.68,1,41,0,1,2
35461596,Central Dun Laoghaire loft near the sea,86738257,Aaron,Dn Laoghaire-Rathdown,53.29077,-6.13803,Entire home/apt,130,2,4,01/09/2019,0.1,1,0,0,1,2
35462882,Cosy flat to discover Dublin & surroundings!,17829825,Babette,Dublin City,53.35085,-6.24278,Entire home/apt,80,2,9,01/03/2020,0.22,1,0,0,1,2
35489321,Inchicore House,207338851,Abni,Dublin City,53.33794,-6.30836,Private room,30,2,9,15/09/2019,0.21,1,0,0,1,2
35492738,"Room in city centre, close to Croke Park",267021742,Tatjana,Dublin City,53.35541,-6.25004,Private room,80,1,41,08/03/2020,0.98,1,57,0,1,1
35506380,Newly designed home near the Sea,12997275,Brendan,Fingal,53.3907,-6.12208,Entire home/apt,220,1,3,11/09/2022,0.07,1,0,1,1,1
35511291,City Centre Penthouse with Rooftop Terrace,35369029,Megan,Dublin City,53.34518,-6.2539,Entire home/apt,159,7,4,17/08/2019,0.1,1,0,0,1,7
35512947,★ Private 5 Star Bedroom in City Center ★,148781281,Karen & Edy,Dublin City,53.34969,-6.27342,Private room,75,2,14,17/11/2019,0.33,1,0,0,1,2
35528477,Bedroom,173395026,Brian,Dublin City,53.37897,-6.23616,Private room,18,1,0,,,1,0,0,1,1
35535668,Period Cottage in Historic Dublin,127554976,Frederique,Dublin City,53.32376,-6.23477,Entire home/apt,150,3,6,27/12/2020,0.14,1,0,0,1,3
35538645,"Beautiful, comfortable, family home near the coast",86124800,Gerry,Dublin City,53.37648,-6.1776,Entire home/apt,170,7,0,,,1,0,0,1,7
35545729,"Double Bedroom,Private Bathroom,Free Parking",6035073,Daniel,Fingal,53.37208,-6.3706,Private room,75,1,41,10/03/2020,0.97,6,0,0,6,1
35559705,"City 15 min on dart
Airport 15 min drive",264096300,Sean,Dublin City,53.37918,-6.19214,Private room,140,1,124,13/11/2022,3.1,2,220,85,2,1
35560132,Private room with bathroom in Kilmainham,154668607,Dani,Dublin City,53.34201,-6.31337,Private room,100,1,10,29/06/2022,1.03,1,0,10,1,1
35562722,Wonderful Dublin Seaside Home,267557578,Mark,Fingal,53.44643,-6.13707,Entire home/apt,195,8,1,09/08/2019,0.02,1,0,0,1,8
35563076,"House, Shankill, Dublin",130550825,Mark,Dn Laoghaire-Rathdown,53.24006,-6.12833,Entire home/apt,300,1,5,31/10/2022,0.12,1,19,2,1,1
35563644,Temple Bar rooms,247178939,Hiphipstay,Dublin City,53.34724,-6.26809,Private room,123,1,46,29/11/2022,1.1,12,135,19,10,1
35569423,"Relaxing hideaway, close to Airport and Malahide.",18585197,Daren,Fingal,53.44369,-6.20146,Private room,75,2,62,04/12/2022,1.46,1,252,20,1,2
35576859,Big bright family home near the city and the sea,170802120,Louise,Dn Laoghaire-Rathdown,53.30963,-6.20849,Entire home/apt,180,2,9,04/07/2022,0.22,1,0,2,1,2
35577845,En-suite Double Room in Dublin's Silicon Valley,266123186,Elo,Dublin City,53.34321,-6.22856,Private room,100,4,53,17/06/2022,1.25,4,275,10,4,4
35608363,RDS and Aviva stadium Neighbour,112062166,Gav&Una,Dublin City,53.33062,-6.22536,Entire home/apt,140,14,38,04/11/2022,0.92,19,30,10,10,14
35634746,Cosy modern house in city centre w/ balcony,224372866,Naoise,Dublin City,53.34237,-6.27427,Entire home/apt,200,1,2,12/08/2019,0.05,1,0,0,1,1
35640983,Dublin City Centre Room ( 2 mins from Temple Bar ),212838773,Vilma,Dublin City,53.34736,-6.26493,Private room,55,1,8,26/09/2019,0.19,1,0,0,1,1
35643366,Fresh 2 bedroom Apartment with 2 private bathrooms,268142321,Diederik,Dublin City,53.34115,-6.23533,Entire home/apt,209,2,0,,,1,0,0,1,2
35648044,Double bedroom near Kilmainham & War Memorial Park,264577699,Mary,Dublin City,53.34252,-6.32753,Private room,35,3,15,14/03/2020,0.36,1,0,0,1,3
35673359,Templebar Rooms,247178939,Hiphipstay,Dublin City,53.34702,-6.26692,Private room,130,2,56,04/12/2022,1.34,12,131,20,10,2
35673532,Temple Bar Rooms,247178939,Hiphipstay,Dublin City,53.34687,-6.2685,Private room,133,1,97,10/12/2022,2.32,12,132,43,10,1
35673628,Temple Bar Rooms,247178939,Hiphipstay,Dublin City,53.34736,-6.26854,Private room,123,1,40,08/12/2022,0.95,12,132,19,10,1
35673876,Temple Bar Rooms,247178939,Hiphipstay,Dublin City,53.34659,-6.26658,Private room,120,1,56,01/12/2022,1.34,12,135,30,10,1
35679514,Home sweet home!,268398277,Angela,Fingal,53.44264,-6.23359,Private room,55,1,12,12/10/2019,0.28,1,0,0,1,1
35699949,Bright and spacious double room Dublin 8,268529189,Maria,Dublin City,53.34057,-6.27418,Private room,50,2,2,21/07/2019,0.05,2,0,0,2,2
35709159,Sumptuous studio in the heart of the city centre,27472241,Gonzague,Dublin City,53.34112,-6.26589,Entire home/apt,300,2,15,19/03/2020,0.38,8,0,0,8,2
35712527,Large Spacious 4 bedroom house 6km to Dublin City,6650296,Fiona,Dublin City,53.39001,-6.23164,Entire home/apt,120,21,1,17/08/2019,0.02,2,107,0,2,21
35713748,Chic Artisan Dwelling in Trendy Stoneybatter,28014381,David,Dublin City,53.35293,-6.28446,Entire home/apt,100,3,7,09/09/2019,0.17,1,0,0,1,3
35715056,"City 15 minutes on dart,airport 15 minutes drive.",264096300,Sean,Dublin City,53.38048,-6.19217,Private room,144,1,22,06/11/2022,0.55,2,141,18,2,1
35715690,Modern apartment in town,78136679,Roberta,Dublin City,53.34827,-6.24274,Entire home/apt,80,20,7,29/08/2022,0.16,1,0,2,1,20
35725592,Quiet 1 bed apartment near Sandycove beach,35680310,Brenda,Dn Laoghaire-Rathdown,53.2858,-6.11917,Entire home/apt,130,5,11,21/08/2022,0.27,1,0,2,1,5
35731940,Cozy redbrick house close to city centre,1820300,Mariangela,Dublin City,53.3123,-6.29642,Entire home/apt,150,3,8,15/08/2022,0.2,1,15,3,1,3
36414306,Cosy double bedroom in the heart of Dublin,17710003,Morgan,Dublin City,53.33675,-6.26288,Private room,59,4,5,03/01/2020,0.12,1,0,0,1,4
36421220,Quiet family home,206896408,Josh,Dn Laoghaire-Rathdown,53.28411,-6.15693,Private room,40,1,50,15/07/2022,1.2,1,118,15,1,1
36441946,Double Bedroom,188666703,Emre,Dublin City,53.37894,-6.22574,Private room,40,7,1,24/08/2019,0.02,4,0,0,4,7
36465309,5km/ 20 min to city center. airport 30 min.,103100241,Ed,Dublin City,53.33029,-6.33307,Private room,52,1,194,01/12/2022,4.7,2,244,70,2,1
36466515,Full 2-bedroom house close to DUB airport & centre,274177971,Michael,Dublin City,53.39759,-6.17189,Entire home/apt,67,3,6,18/08/2019,0.14,1,0,0,1,3
36469306,Double bed in victorian house,102741793,John,Dublin City,53.35036,-6.29611,Private room,80,1,45,09/12/2022,1.11,1,40,25,1,1
36476892,Spacious & Super Central Apartment - River view!,19055888,James,Dublin City,53.34712,-6.2576,Entire home/apt,184,2,11,09/12/2019,0.27,2,0,0,2,2
36496667,Double room-Deluxe-Ensuite with Shower-The Quietest room,177312912,Hilary,Dublin City,53.33151,-6.2399,Private room,170,1,78,29/11/2022,2.54,4,318,10,4,1
36506174,Temple Bar Bridge house 1,69683252,Short Stay Ireland Niall And Gavin,Dublin City,53.34483,-6.26378,Entire home/apt,184,4,29,21/11/2022,0.7,50,85,11,10,4
36509710,"Private room Dublin 8, 5 minutes from Temple bar",274488679,Jonathon,Dublin City,53.34301,-6.2714,Private room,75,1,3,06/08/2019,0.07,1,236,0,1,1
36509878,Newly Refurbished Townhouse,274490480,Jenny,Dn Laoghaire-Rathdown,53.29322,-6.16204,Entire home/apt,120,5,2,19/09/2019,0.05,1,0,0,1,5
36534202,Clean double bedroom near Dublin City & Airport,1261072,Lorraine,Dublin City,53.38475,-6.29996,Private room,70,2,50,27/11/2022,1.23,1,33,23,1,2
36540294,Private room with 2 beds near the sea,91102445,Jade,Dn Laoghaire-Rathdown,53.29193,-6.13841,Private room,75,2,0,,,1,0,0,1,2
36557715,Designer Studio,264423137,Raymond,Dublin City,53.32949,-6.26311,Entire home/apt,120,14,16,14/03/2020,0.39,1,49,0,1,14
36558882,Private double room 2 mins  Rush Beach & Harbour,116351267,Marian,Fingal,53.52241,-6.08301,Private room,60,1,3,23/08/2019,0.07,1,0,0,1,1
